model,training_regime,trainable_parts,frozen_parts,losses,staging,optimizer_schedule,evidence_status,evidence_anchor,caveat
VAE,tokenizer pretraining,encoder and decoder,none by definition,negative ELBO = reconstruction likelihood term + KL divergence,single probabilistic objective,paper-specific,primary-source-indexed,vae primary paper,Modern perceptual VAEs usually add objectives beyond the original VAE.
VQ-VAE,tokenizer pretraining,"encoder, codebook, decoder",none,reconstruction + codebook + commitment; straight-through estimator,"tokenizer first, prior model second",paper-specific,primary-source-indexed,vqvae primary paper,Codebook collapse and dead codes require monitoring.
VQGAN / LDM autoencoder,perceptual tokenizer pretraining,"encoder, decoder, discriminator, codebook or KL posterior",LPIPS feature network,pixel reconstruction + LPIPS/perceptual + adversarial + codebook or KL regularization,discriminator is often delayed; latent generative model is trained after tokenizer,adaptive adversarial weighting in released LDM loss code,paper-verified+code-verified,vqgan PDF Sec.3; source_code/ldm/vqperceptual.py,GAN weight must be tuned after reconstruction is stable.
DiT,frozen-latent diffusion,DiT backbone and output head,pretrained VAE encoder and decoder,diffusion noise prediction and learned variance objective,pre-encode image to latent; train DiT; decode only for sampling/evaluation,standard DiT training schedule,paper-verified+code-verified,dit PDF p3-5; source_code/dit/models.py,The decoder is a reconstruction ceiling but receives no DiT gradient.
SD3 / MM-DiT,frozen-latent rectified flow,MM-DiT flow model,16-channel image autoencoder and text encoders,conditional flow matching / rectified-flow objective,precompute frozen image and text representations; optional DPO post-training,timestep sampling and resolution-dependent shifting,paper-verified,"sd3 PDF Sec.4-5, App.E.1",The complete VAE pretraining recipe is not disclosed in this paper.
FLUX.1 AE,tokenizer pretraining then frozen-latent flow training,undisclosed for AE pretraining; FLUX transformer separately trained,AE at standard FLUX inference/training interface,undisclosed for AE pretraining,architecture and normalization are public; training recipe is not,undisclosed,code-verified+undisclosed,source_code/flux/modules/autoencoder.py; source_code/flux/util.py,Do not copy SD3 or LDM loss weights and label them as FLUX facts.
TiTok,two-stage tokenizer training,stage 1 full tokenizer; stage 2 decoder only,stage 2 encoder and quantizer,stage 1 proxy-code prediction; stage 2 standard VQGAN pixel/perceptual/adversarial recipe,"warm-up with MaskGIT-VQGAN proxy codes, then decoder fine-tuning",1M iterations then 500K decoder fine-tuning in final setting,paper-verified,"ar5iv_2406.07550 lines 163-180,223",Proxy codes simplify unstable direct RGB/GAN optimization.
DC-AE,decoupled high-resolution autoencoder training,"autoencoder, with phase-specific subsets",phase-dependent,reconstruction/perceptual first; high-resolution latent adaptation; lightweight local GAN refinement,low-resolution pretraining -> high-resolution latent adaptation -> local refinement,phase-specific as reported by DC-AE,paper-verified,ar5iv_2410.10733 method and Fig.5-6,Full-resolution GAN training is intentionally avoided for cost and stability.
Open-Sora 1.2 VAE,three-stage video VAE bootstrapping,3D VAE; later stages expand supervision,pretrained SDXL 2D VAE initially frozen,stage 1 reconstruct 2D-VAE features + identity alignment; stage 2 feature reconstruction; stage 3 direct video reconstruction,"0-380K, 380K-640K, 640K-1.2M steps","local batch 1; 8 GPUs early, 24 GPUs final stage",paper-verified,ar5iv_2412.20404 lines 66 and HTML S3.SS1,"An example of curriculum in target space, not merely resolution curriculum."
WF-VAE,video VAE pretraining,encoder and decoder including wavelet energy path,perceptual feature network if used,L1 reconstruction + LPIPS/adversarial/KL family + wavelet loss; reported lambda_WL=0.1,end-to-end with ablated energy-flow and causal-cache design,paper implementation details,paper-verified,"wfvae PDF p5 implementation, p7-8 ablation",Paper reports L1 outperforming L2 in its setting.
VidTok,two-stage resolution curriculum,full tokenizer at low resolution; decoder only at high resolution,encoder/bottleneck during high-resolution fine-tuning,continuous or discrete tokenizer objectives plus reconstruction/perceptual components,low-resolution pretraining -> high-resolution decoder fine-tuning,lower-FPS data is an explicit motion-learning intervention,paper-verified,ar5iv_2412.13061 lines 40-60; Fig.6,Exact objective differs between continuous and discrete variants.
LTX-Video VAE,joint denoising-aware video VAE training,"causal encoder, timestep-conditioned decoder, discriminator",not a frozen off-the-shelf decoder during tokenizer training,shared diffusion objective + Reconstruction GAN + reconstruction/perceptual family,decoder learns final denoising as part of latent-to-pixel reconstruction,paper-specific,paper-verified,ar5iv_2501.00103 Sec.2.1.1-2.1.3; Fig.5,This deliberately blurs the classic boundary between diffusion last step and decoder.
Wan VAE,video VAE pretraining,causal encoder and decoder,undisclosed,complete public loss composition is not fully disclosed in the system report,feature-cache architecture supports long-video inference,undisclosed,paper-verified+code-verified+undisclosed,ar5iv_2503.20314 Wan-VAE section; source_code/wan/wan/modules/vae.py,Architecture is auditable; training weights and full data recipe are not.
FlashVSR stages 1-3,restoration adaptation and one-step distillation,LoRA rank 384 on Wan DiT plus LQ projection; stage-dependent score/student models,pretrained base components except adapters; teacher/real score handled per stage,stage 1 flow matching; stage 2 flow matching; stage 3 DMD + flow matching + MSE + 2*LPIPS,joint image-video SR -> block-sparse causal adaptation -> one-step DMD,"AdamW lr 1e-5, weight decay 0.01, batch 32",paper-verified,"flashvsr PDF p4 Fig.2, p5 Eq.2, p6 Sec.4.1","This trains the restoration DiT, not the base Wan VAE."
FlashVSR TCDecoder,decoder-only conditional distillation,TCDecoder,Wan encoder and Wan decoder teacher paths,MSE+LPIPS to GT plus MSE+LPIPS to Wan decoder output,trained separately on 61-frame 384x384 clips for about 2 days,paper reports separate training; exact optimizer details follow implementation context,paper-verified+code-verified,flashvsr PDF p5 Fig.4/Eq.3 and p6 Sec.4.1; source_code/flashvsr/TCDecoder.py,Teacher reconstruction stabilizes detail while direct GT supervision corrects teacher bias.
