model,data_sources,cleaning_filtering,sampling,input_tensor,target_tensor,pair_construction,evidence_status,evidence_anchor,notes
VQGAN / LDM,"ImageNet, OpenImages and task-specific image datasets in reported experiments",dataset-specific,random image crops/resizing,"RGB image [B,3,H,W], normalized to model range",same RGB image for tokenizer pretraining,self-reconstruction,paper-verified,vqgan and ldm papers,Generation datasets and tokenizer datasets need not be identical.
DiT,ImageNet 256/512,standard ImageNet labels and preprocessing,image crop/resize then frozen VAE encoding,"latent x [B,4,H/8,W/8] then p x p patchify",diffusion noise/variance target in latent space,image-label pair; no LQ-HQ pair,paper-verified,dit PDF p3-5,Decode is outside the training inner loop.
SD3,large-scale image-text data; ImageNet and CC12M for controlled experiments,NSFW filtering and SSCD-based exact/semantic deduplication described,resolution buckets; image and text embeddings precomputed,"image latent [B,16,H/8,W/8] plus text sequences",rectified-flow velocity target,image-caption pair,paper-verified,"sd3 PDF Sec.5, App.E",Precomputation saves memory/compute because frozen encoders do not change.
TiTok,ImageNet-1K; some compared models use OpenImages/LAION subsets,standard benchmark preprocessing,256x256 or 512x512 image patches,image patches plus K latent tokens,stage 1 proxy codes; stage 2 RGB image,self-reconstruction plus teacher-code targets,paper-verified,"ar5iv_2406.07550 lines 177-190,223-226",Proxy-code data can be precomputed and cached.
DC-AE,ImageNet and high-resolution adaptation data reported by the paper,resolution-aware phase construction,low-resolution global crops then high-resolution latent/local crops,"RGB [B,3,H,W] at phase-specific resolutions",same image globally or local high-resolution patches,self-reconstruction with phase-specific crop scopes,paper-verified,ar5iv_2410.10733 Sec.3 and training details,"Dataset resolution distribution is part of the method, not a neutral implementation detail."
Open-Sora 1.2 VAE,Pexels and Pixabay videos,"project data pipeline covers quality, motion and caption processing",mainly 17-frame 256x256 clips; final stage random lengths up to 34 with zero padding,"video [B,3,T,H,W]",2D-VAE features early; RGB video late,self-reconstruction and feature-alignment curriculum,paper-verified,ar5iv_2412.20404 lines 66 and HTML S3.SS1,Mixed lengths are introduced only in the late stage.
CogVideoX,large image/video corpus with internally generated dense captions,multi-stage quality and caption pipeline; high-quality cooling subset,mixed-duration batches and Frame Pack,"video [B,3,T,H,W] encoded to causal latent",reconstruction for VAE; diffusion target for CogVideoX DiT,self-reconstruction for VAE; video-caption for DiT,paper-verified,ar5iv_2408.06072 Fig.6-7 and training sections,Caption density is treated as a model-quality lever.
VidTok,multiple open video datasets under unified evaluation,common protocol for continuous/discrete variants,lower-FPS clips improve motion representation; low-res then high-res stages,"video [B,3,T,H,W]",same video,self-reconstruction,paper-verified,ar5iv_2412.13061 lines 40-60; Fig.6,"Frame rate is a semantic sampling hyperparameter, not only I/O throughput."
Cosmos Tokenizer,large physical-AI image/video corpus,"shot splitting, quality and motion filtering, VLM annotation, semantic deduplication",image-video joint training; first frame separately preserved,"image [B,3,H,W] or video [B,3,T,H,W]",same visual signal or teacher continuous tokens for diffusion decoder,self-reconstruction; discrete-to-continuous decoder pairing,paper-verified,ar5iv_2501.03575 tokenizer/data sections and Fig.15,One tokenizer family serves both continuous diffusion and discrete AR models.
Wan,large internal image and video corpus; image volume reported near 10x video volume for joint training,"quality, motion and category proportions adjusted across stages",image-video joint training and staged resolution/duration curriculum,image or video mapped by Wan VAE to 16-channel causal latent,VAE reconstruction or DiT flow target,self-reconstruction for VAE; captioned image/video for DiT,paper-verified,"ar5iv_2503.20314 Fig.3, Wan-VAE section, lines 1151-1154",Exact base VAE training corpus and loss weights remain undisclosed.
FlashVSR / VSR-120K,"Videvo, Pexels and Pixabay; initial 600K clips and 220K images","LAION-Aesthetic, MUSIQ and RAFT motion filtering","final 120K videos, average >350 frames, plus 180K HQ images",paired LR-HR video; images treated as T=1 video in stage 1,HR video/image; latent and pixel targets depend on stage,RealBasicVSR degradation pipeline synthesizes LR from HQ,paper-verified,flashvsr PDF p3 Sec.3.1 and p6 Sec.4.1,Stage 1 uses 89-frame 768x1280 clips plus images; TCDecoder uses 61-frame 384x384 clips.
