model,family,year,encoder,bottleneck,decoder,compression,latent_channels_or_tokens,causal,dit_role,evidence_status,evidence_anchor,notes
VAE,image continuous latent,2014,amortized inference network predicts mean and variance,Gaussian latent with reparameterization,likelihood/generative network,task-dependent; no fixed modern f8 contract,task-dependent,no,the probabilistic foundation of continuous latent autoencoders,primary-source-indexed,source_manifest key=vae,Foundational theory; local complete PDF download remains pending.
VQ-VAE,image discrete tokenizer,2017,convolutional encoder,nearest-neighbor vector quantization with learned codebook,convolutional decoder,configuration-dependent,discrete code indices,no,foundation for discrete image/video tokenizers and autoregressive generation,primary-source-indexed,source_manifest key=vqvae,PDF download pending; indexed from the primary paper metadata.
VQGAN,image discrete tokenizer,2021,convolutional encoder with residual and attention blocks,vector-quantized 2D grid,convolutional decoder trained for perceptual realism,typically f16 in the paper's high-resolution tokenizer settings,2D code grid,no,established perceptual-adversarial tokenizer training,paper-verified,vqgan PDF p3 Fig.2; p8 Table 5,Useful baseline for modern tokenizer loss design.
LDM / SD-VAE,image continuous KL autoencoder,2022,2D convolutional ResNet encoder,regularized continuous latent,2D convolutional ResNet decoder,f4-f32 studied; f8 became the common production point,commonly 4 channels at f8,no,moves diffusion from pixels to a frozen compressed latent space,paper-verified+code-verified,ldm PDF p2 Sec.3; source_code/ldm/autoencoder.py,Separates autoencoder pretraining from latent diffusion training.
DiT latent interface,frozen image VAE plus transformer,2023,pretrained frozen Stable Diffusion VAE encoder,latent grid patchified into transformer tokens,pretrained frozen Stable Diffusion VAE decoder,f8 VAE; DiT adds latent patch size p,4-channel latent in original DiT setup,no,canonical frozen-VAE DiT training pattern,paper-verified+code-verified,"dit PDF p3 Fig.3, p4 Fig.4, p13 Table 5; source_code/dit/models.py","The VAE is an interface and quality ceiling, not jointly trained with DiT."
SD3 VAE,image continuous KL autoencoder,2024,2D ResNet encoder with mid attention,continuous latent normalized by shift/scale,mirrored 2D ResNet decoder,f8,16 channels,no,higher-capacity latent for MM-DiT and rectified flow,paper-verified+code-verified,"sd3 PDF p7 Table 3, App.B.2; source_code/sd3/sd3_impls.py:97-107,247-310","The paper reports architecture selection, not the complete VAE training recipe."
FLUX.1 AE,image continuous autoencoder,2024,2D ResNet encoder with mid attention,16-channel latent with shift/scale normalization,mirrored 2D ResNet decoder,f8 inferred from four resolution levels,16 channels,no,pixel-latent interface for FLUX flow transformer,code-verified,source_code/flux/modules/autoencoder.py; source_code/flux/util.py:539-548,Public code exposes architecture/config; complete AE training data and loss recipe are undisclosed.
TiTok,image discrete 1D tokenizer,2024,ViT encoder consumes image patches and K learnable latent tokens,K vector-quantized 1D tokens,ViT decoder reconstructs image from quantized tokens and mask tokens,32-256 tokens; 32-token flagship at 256px,K tokens; codebook 4096 in final setting,no,shows token count can be decoupled from a fixed 2D grid,paper-verified,"ar5iv_2406.07550 lines 106-180,189-223; Fig.3","Primarily paired with MaskGIT, but materially informs DiT token-budget design."
DC-AE,image continuous high-compression autoencoder,2025,residual autoencoding with space-to-channel shortcut,continuous latent at f32/f64/f128,channel-to-space mirrored reconstruction path,up to f128; f64 emphasized for DiT acceleration,configuration-dependent continuous latent,no,moves token compression from DiT patchify into the autoencoder,paper-verified,ar5iv_2410.10733 lines 46-82; Fig.10,"High compression requires optimization and high-resolution adaptation, not merely deeper downsampling."
MAGVIT,video discrete tokenizer,2023,3D VQ encoder,discrete video tokens,3D VQ decoder,architecture/configuration-dependent,3D discrete token grid,task-aware; not the same streaming contract as Wan,unified image/video tokenization and masked token generation baseline,paper-verified,"magvit PDF p3 Fig.2, p8 Table 7",A key ancestor for later causal video tokenizers.
MAGVIT-v2,video/image discrete tokenizer,2024,temporally causal convolutional encoder,lookup-free quantization (LFQ),temporally causal decoder,configuration-dependent,binary-factorized discrete codes,yes,strong causal tokenizer design reused by later video systems,paper-verified,ar5iv_2310.05737 Fig.7 and tokenizer sections,"Discrete tokenizer; mainly autoregressive use, but architecture is widely inherited."
CogVideoX 3D VAE,video continuous causal VAE,2025,temporally causal 3D convolutional encoder,regularized continuous video latent,temporally causal 3D convolutional decoder,T x H x W = 4 x 8 x 8,paper studies 4/8/16/32 channels; release config must be checked per checkpoint,yes,production-scale causal video VAE with context parallelism,paper-verified+code-verified,ar5iv_2408.06072 Fig.4; source_code/cogvideox/.../cp_enc_dec.py:743-998,Do not assume one latent-channel count across all released variants.
