key,title,arxiv_id,category,year,venue,role,priority,source_type,source_url,pdf_url,evidence_status,local_path,valid,page_count,sha256,retrieved_at,repository_commit
vae,Auto-Encoding Variational Bayes,1312.6114,01_history_and_tokenizers,2014,ICLR 2014,continuous latent foundation,core,paper,https://arxiv.org/abs/1312.6114,https://export.arxiv.org/pdf/1312.6114,indexed-not-downloaded,,False,,,,
vqvae,Neural Discrete Representation Learning,1711.00937,01_history_and_tokenizers,2017,NeurIPS 2017,discrete tokenizer foundation,core,paper,https://arxiv.org/abs/1711.00937,https://export.arxiv.org/pdf/1711.00937,indexed-not-downloaded,,False,,,,
vqvae2,Generating Diverse High-Fidelity Images with VQ-VAE-2,1906.00446,01_history_and_tokenizers,2019,NeurIPS 2019,hierarchical discrete tokenizer,supporting,paper,https://arxiv.org/abs/1906.00446,https://export.arxiv.org/pdf/1906.00446,indexed-not-downloaded,,False,,,,
vqgan,Taming Transformers for High-Resolution Image Synthesis,2012.09841,01_history_and_tokenizers,2021,CVPR 2021,perceptual adversarial tokenizer,core,paper,https://arxiv.org/abs/2012.09841,https://export.arxiv.org/pdf/2012.09841,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\01_history_and_tokenizers\vqgan_2012.09841.pdf,True,11,281d029c1bdebeeef87b4dcd2c6695108b97c20307f87a7d0240549f57bbcaae,2026-08-21T05:33:59.202023+00:00,
ldm,High-Resolution Image Synthesis with Latent Diffusion Models,2112.10752,01_history_and_tokenizers,2022,CVPR 2022,latent diffusion autoencoder,core,paper,https://arxiv.org/abs/2112.10752,https://export.arxiv.org/pdf/2112.10752,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\01_history_and_tokenizers\ldm_2112.10752.pdf,True,12,5e2b3a5c07d5ed193d5d115270c8a601732c6d8a25dc25fa0c9448dac53c9a82,2026-08-21T05:27:27.309847+00:00,
dit,Scalable Diffusion Models with Transformers,2212.09748,04_dit_training,2023,ICCV 2023,frozen VAE latent DiT training,core,paper,https://arxiv.org/abs/2212.09748,https://export.arxiv.org/pdf/2212.09748,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\04_dit_training\dit_2212.09748.pdf,True,25,5fbb0ec35e3ae76826240171ca63ed4c27de6cb43180367453019e9d28a8b076,2026-08-21T05:27:28.216066+00:00,
sdxl,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,2307.01952,02_image_vae,2023,ICLR 2024,production latent diffusion baseline,core,paper,https://arxiv.org/abs/2307.01952,https://export.arxiv.org/pdf/2307.01952,indexed-not-downloaded,,False,,,,
sd3,Scaling Rectified Flow Transformers for High-Resolution Image Synthesis,2403.03206,02_image_vae,2024,ICML 2024,16-channel image VAE and MMDiT,core,paper,https://arxiv.org/abs/2403.03206,https://export.arxiv.org/pdf/2403.03206,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\02_image_vae\sd3_2403.03206.pdf,True,28,7ba352b6ded12859cda4d47df203d5fe38ee884c45f3b67ff227549d82db1487,2026-08-21T05:27:29.108187+00:00,
titok,An Image is Worth 32 Tokens for Reconstruction and Generation,2406.07550,02_image_vae,2024,NeurIPS 2024,one-dimensional image tokenizer,core,paper,https://arxiv.org/abs/2406.07550,https://export.arxiv.org/pdf/2406.07550,indexed-not-downloaded,,False,,,,
dcae,Deep Compression Autoencoder for Efficient High-Resolution Diffusion Models,2410.10733,02_image_vae,2025,ICLR 2025,high-compression continuous autoencoder,core,paper,https://arxiv.org/abs/2410.10733,https://export.arxiv.org/pdf/2410.10733,indexed-not-downloaded,,False,,,,
